epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7857,2.22594,4.09445,1.13224,0.00454,0.29722,0.08835,0.03649,2.00017,3.66232,1.02497,0.000329412,0.000329412,0.000329412
2,168.811,2.02779,2.67316,1.06489,0.43403,0.32926,0.23892,0.10483,1.91391,1.90484,1.02382,0.000656184,0.000656184,0.000656184
3,249.8,2.00779,2.32207,1.05182,0.46375,0.32779,0.25556,0.11365,2.00462,1.85356,1.0575,0.000976356,0.000976356,0.000976356
4,334.263,1.93464,1.99705,1.03044,0.55106,0.35015,0.32288,0.1471,1.84545,1.7232,1.01201,0.0009703,0.0009703,0.0009703
5,415.436,1.87431,1.7907,1.01333,0.47748,0.33828,0.30796,0.13656,2.00393,1.63412,1.0273,0.0009604,0.0009604,0.0009604
6,496.075,1.80623,1.60977,0.99898,0.37272,0.3546,0.33409,0.15399,1.90432,1.63735,1.02866,0.0009505,0.0009505,0.0009505
7,576.243,1.84137,1.54574,1.0004,0.35686,0.44285,0.38519,0.18195,1.80942,1.47749,0.98049,0.0009406,0.0009406,0.0009406
8,662.186,1.77996,1.46505,0.98408,0.56595,0.41766,0.40136,0.19767,1.73003,1.43558,0.9673,0.0009307,0.0009307,0.0009307
9,747.217,1.7538,1.40805,0.97404,0.60798,0.44232,0.45059,0.22423,1.72347,1.34498,0.96468,0.0009208,0.0009208,0.0009208
10,833.046,1.73719,1.35102,0.97198,0.54514,0.3752,0.37035,0.18159,1.78011,1.5718,0.97318,0.0009109,0.0009109,0.0009109
11,913.244,1.70105,1.29427,0.96394,0.6029,0.39015,0.40837,0.19867,1.81212,1.38261,0.99153,0.000901,0.000901,0.000901
12,993.471,1.6911,1.26814,0.95948,0.64573,0.40663,0.4352,0.20851,1.78707,1.34337,0.98019,0.0008911,0.0008911,0.0008911
13,1073.56,1.65939,1.22378,0.95412,0.64244,0.42413,0.45207,0.23198,1.68046,1.36838,0.9581,0.0008812,0.0008812,0.0008812
14,1156.75,1.66436,1.21987,0.95193,0.68719,0.42348,0.46141,0.2311,1.71669,1.32882,0.96418,0.0008713,0.0008713,0.0008713
15,1237.62,1.62068,1.17315,0.94845,0.68,0.46867,0.49858,0.25641,1.63339,1.21082,0.94866,0.0008614,0.0008614,0.0008614
16,1318.05,1.62647,1.15845,0.95529,0.69503,0.44746,0.4831,0.23992,1.67587,1.2758,0.9523,0.0008515,0.0008515,0.0008515
17,1398.21,1.59903,1.14567,0.94177,0.66221,0.44922,0.4854,0.24606,1.65269,1.23768,0.94101,0.0008416,0.0008416,0.0008416
