epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63212,2.67607,16.7349,1.45781,0,0,0,0,1.94078,7.23286,0.91233,4e-05,4e-05,4e-05
2,7.03053,2.34804,6.84992,1.30035,0.00111,0.33333,0.00079,0.00048,2.18491,7.04738,0.96214,9.802e-05,9.802e-05,9.802e-05
3,10.326,2.24522,6.928,1.10321,0.00111,0.33333,0.0008,0.00048,2.1347,6.80709,0.94725,0.000153664,0.000153664,0.000153664
4,14.4125,1.99617,7.13885,1.0981,0.00111,0.33333,0.00087,0.00035,2.23715,6.6173,0.92513,0.000206932,0.000206932,0.000206932
5,23.2616,2.34745,5.26512,1.11072,0.00111,0.33333,0.00103,0.00021,2.48171,7.18696,0.93342,0.000257824,0.000257824,0.000257824
6,32.4273,1.62529,4.48373,0.97679,0.00111,0.33333,0.001,0.0001,2.53366,7.32266,0.93394,0.00030634,0.00030634,0.00030634
7,39.5348,1.40195,3.93962,0.94468,0.00111,0.33333,0.0008,8e-05,2.52841,7.44132,0.96888,0.00035248,0.00035248,0.00035248
8,46.7724,1.70475,3.85462,0.97718,0,0,0,0,2.70818,9.19301,1.09045,0.000396244,0.000396244,0.000396244
9,53.2913,1.90042,5.41114,1.04769,0,0,0,0,2.70818,9.19301,1.09045,0.000437632,0.000437632,0.000437632
10,60.334,1.63705,4.8381,0.92636,0,0,0,0,3.19749,16.5362,0.97916,0.000476644,0.000476644,0.000476644
11,67.7344,1.19137,3.83799,0.9366,0,0,0,0,3.19749,16.5362,0.97916,0.00051328,0.00051328,0.00051328
12,75.4034,1.99204,5.17895,1.08184,0,0,0,0,4.35806,17.8916,1.27268,0.00054754,0.00054754,0.00054754
13,81.9586,2.00109,6.53216,0.85503,0,0,0,0,4.35806,17.8916,1.27268,0.000579424,0.000579424,0.000579424
14,88.2666,1.38183,3.91846,0.96165,0,0,0,0,3.5399,14.8715,1.20757,0.000608932,0.000608932,0.000608932
15,94.8757,1.77266,3.38683,0.96917,0,0,0,0,3.5399,14.8715,1.20757,0.000636064,0.000636064,0.000636064
