epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.844,2.49204,4.45991,1.20853,0,0,0,0,2.55403,4.93814,0.92354,0.000332565,0.000332565,0.000332565
2,200.213,2.36601,3.18623,1.15765,0,0,0,0,2.5566,4.57172,0.91711,0.000652714,0.000652714,0.000652714
3,416.928,2.28158,2.74842,1.14263,0.15385,0.66667,0.69089,0.1656,2.26713,3.90875,0.93269,0.000959662,0.000959662,0.000959662
