epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6852,2.31318,4.24538,1.12224,0.36875,0.2931,0.19513,0.08172,2.0402,2.20014,1.01663,0.000332373,0.000332373,0.000332373
2,162.737,2.15088,2.88332,1.07654,0.43712,0.36881,0.27211,0.11702,2.00092,1.92425,1.02282,0.000652525,0.000652525,0.000652525
3,239.787,2.09618,2.53112,1.0535,0.26652,0.36345,0.29457,0.12999,1.94125,1.79907,1.00423,0.000959477,0.000959477,0.000959477
4,319.298,2.01679,2.18366,1.0412,0.32861,0.35822,0.31651,0.13905,1.99417,1.70188,1.00876,0.0009406,0.0009406,0.0009406
5,400.077,1.98582,2.00013,1.02601,0.55906,0.36348,0.35015,0.16413,1.8628,1.59843,0.97841,0.0009208,0.0009208,0.0009208
6,479.619,1.93511,1.82776,1.00905,0.57747,0.3929,0.37819,0.17925,1.84348,1.56746,0.97536,0.000901,0.000901,0.000901
7,558.012,1.87717,1.71354,0.99774,0.40983,0.39151,0.38687,0.18788,1.82034,1.50275,0.96378,0.0008812,0.0008812,0.0008812
8,633.594,1.87039,1.61954,0.98899,0.59469,0.42628,0.42064,0.21057,1.75258,1.44344,0.94778,0.0008614,0.0008614,0.0008614
9,712.104,1.81163,1.58542,0.99189,0.64191,0.40929,0.43251,0.21598,1.7534,1.42445,0.95327,0.0008416,0.0008416,0.0008416
10,790.841,1.82144,1.51169,0.98594,0.64896,0.41522,0.45288,0.22876,1.72174,1.39352,0.94432,0.0008218,0.0008218,0.0008218
11,869.964,1.81364,1.45784,0.98386,0.63936,0.42416,0.45332,0.21815,1.73312,1.38685,0.94453,0.000802,0.000802,0.000802
12,950.569,1.75613,1.40963,0.97571,0.67238,0.45838,0.50182,0.24793,1.70244,1.28118,0.93939,0.0007822,0.0007822,0.0007822
13,1032.27,1.75123,1.3671,0.95927,0.68682,0.42474,0.4752,0.23995,1.6998,1.30387,0.94003,0.0007624,0.0007624,0.0007624
14,1108.53,1.72718,1.34335,0.96041,0.68753,0.45475,0.50899,0.25729,1.66032,1.22847,0.92875,0.0007426,0.0007426,0.0007426
15,1184.1,1.71653,1.3203,0.95125,0.74029,0.45382,0.52663,0.27955,1.60817,1.19561,0.9231,0.0007228,0.0007228,0.0007228
16,1260.79,1.69786,1.28643,0.94736,0.5222,0.50823,0.52152,0.27316,1.60958,1.19873,0.92047,0.000703,0.000703,0.000703
17,1338.09,1.67577,1.26598,0.9461,0.70473,0.48932,0.54491,0.27936,1.62712,1.14496,0.92612,0.0006832,0.0006832,0.0006832
18,1413.75,1.64692,1.21526,0.93983,0.49589,0.53348,0.54964,0.28477,1.61746,1.15309,0.92084,0.0006634,0.0006634,0.0006634
19,1489.8,1.65647,1.21133,0.94936,0.58315,0.5251,0.57754,0.30675,1.58096,1.09463,0.9145,0.0006436,0.0006436,0.0006436
20,1565.57,1.62223,1.17248,0.93404,0.7349,0.50108,0.57087,0.30291,1.56043,1.1119,0.90987,0.0006238,0.0006238,0.0006238
21,1643.38,1.63632,1.14658,0.93839,0.72681,0.51966,0.57009,0.29732,1.58575,1.09205,0.90695,0.000604,0.000604,0.000604
22,1719.2,1.60962,1.12699,0.92989,0.67001,0.55104,0.59688,0.30721,1.57747,1.07756,0.90949,0.0005842,0.0005842,0.0005842
23,1798.22,1.62029,1.13551,0.93326,0.65538,0.55481,0.59367,0.3175,1.52098,1.06111,0.89973,0.0005644,0.0005644,0.0005644
24,1878.18,1.56506,1.11392,0.92363,0.76627,0.5154,0.58334,0.31077,1.56256,1.0822,0.90865,0.0005446,0.0005446,0.0005446
25,1955.75,1.55554,1.07665,0.92096,0.69099,0.50087,0.59469,0.32168,1.56714,1.07033,0.90974,0.0005248,0.0005248,0.0005248
26,2035.43,1.54316,1.06102,0.91602,0.6043,0.57585,0.60023,0.32155,1.5357,1.02689,0.90514,0.000505,0.000505,0.000505
27,2111.78,1.53531,1.03414,0.91968,0.60744,0.6069,0.61798,0.33061,1.51019,1.0027,0.89869,0.0004852,0.0004852,0.0004852
28,2188.17,1.57207,1.05291,0.92691,0.6047,0.55897,0.60087,0.32562,1.51831,1.0667,0.90037,0.0004654,0.0004654,0.0004654
29,2266.63,1.50554,1.01043,0.90659,0.72423,0.57286,0.63471,0.3446,1.48352,0.99582,0.89037,0.0004456,0.0004456,0.0004456
30,2347.05,1.50388,1.00887,0.91582,0.64833,0.57617,0.62604,0.34805,1.46172,0.99231,0.88971,0.0004258,0.0004258,0.0004258
31,2423.5,1.50149,0.99434,0.91267,0.64094,0.6098,0.64272,0.35508,1.45831,0.96093,0.88649,0.000406,0.000406,0.000406
32,2498.56,1.48735,0.96564,0.90777,0.66127,0.56508,0.64093,0.35706,1.44777,0.96325,0.88795,0.0003862,0.0003862,0.0003862
33,2574.63,1.48503,0.96069,0.90718,0.64133,0.63084,0.65524,0.36847,1.44225,0.93902,0.88691,0.0003664,0.0003664,0.0003664
34,2653.73,1.43624,0.94176,0.90676,0.68793,0.56179,0.64042,0.35372,1.47221,0.96737,0.88925,0.0003466,0.0003466,0.0003466
35,2732.62,1.45535,0.93429,0.90358,0.77456,0.57174,0.66479,0.36919,1.45247,0.93712,0.88784,0.0003268,0.0003268,0.0003268
36,2809.15,1.45481,0.95345,0.89754,0.61168,0.64235,0.64847,0.3501,1.4801,0.97007,0.88946,0.000307,0.000307,0.000307
37,2884.67,1.42782,0.91968,0.89769,0.64661,0.64131,0.66817,0.36848,1.42873,0.90235,0.88332,0.0002872,0.0002872,0.0002872
38,2961.59,1.41593,0.90964,0.89651,0.68157,0.5715,0.65126,0.36913,1.41366,0.9154,0.87808,0.0002674,0.0002674,0.0002674
39,3038.11,1.42856,0.89545,0.89545,0.65415,0.61556,0.65907,0.36506,1.45216,0.91302,0.88681,0.0002476,0.0002476,0.0002476
40,3114.01,1.37833,0.87556,0.89098,0.69694,0.62462,0.67988,0.38724,1.39093,0.88732,0.87441,0.0002278,0.0002278,0.0002278
41,3189.34,1.42168,0.87632,0.8986,0.62334,0.66855,0.66824,0.37333,1.42197,0.917,0.88235,0.000208,0.000208,0.000208
42,3264.48,1.37461,0.84183,0.89239,0.73,0.58759,0.66827,0.37956,1.42642,0.8912,0.88187,0.0001882,0.0001882,0.0001882
43,3340.29,1.34505,0.83423,0.88522,0.65124,0.63916,0.67577,0.38508,1.40434,0.89046,0.88011,0.0001684,0.0001684,0.0001684
44,3416.74,1.3408,0.81465,0.89164,0.75112,0.61841,0.68867,0.38336,1.42684,0.88244,0.88173,0.0001486,0.0001486,0.0001486
