epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1682.98,1.39174,0.92369,0.89711,0.58961,0.54034,0.60446,0.3313,1.44858,1.02287,0.89882,0.0005941,0.0005941,0.0005941
43,1721.74,1.37731,0.91873,0.89192,0.74703,0.55577,0.6289,0.34847,1.41044,0.9652,0.89228,0.0005842,0.0005842,0.0005842
44,1760.33,1.39609,0.92618,0.88917,0.76143,0.53177,0.60987,0.33672,1.436,0.99032,0.90021,0.0005743,0.0005743,0.0005743
45,1798.91,1.38845,0.91727,0.89084,0.73647,0.5384,0.62843,0.32631,1.49498,1.02044,0.90197,0.0005644,0.0005644,0.0005644
46,1837.61,1.40103,0.92817,0.89457,0.77292,0.56067,0.64756,0.35384,1.42738,0.93412,0.89443,0.0005545,0.0005545,0.0005545
47,1876.89,1.36122,0.8927,0.89227,0.79631,0.53783,0.65179,0.36402,1.40526,0.93054,0.89324,0.0005446,0.0005446,0.0005446
48,1917.2,1.33903,0.893,0.88944,0.79302,0.55348,0.67574,0.36811,1.42237,0.91435,0.89437,0.0005347,0.0005347,0.0005347
49,1955.97,1.33792,0.87296,0.88018,0.75775,0.5364,0.62037,0.33809,1.43212,0.94775,0.89924,0.0005248,0.0005248,0.0005248
50,1995.08,1.34811,0.86984,0.8879,0.6102,0.62127,0.65075,0.35885,1.45389,0.93282,0.89636,0.0005149,0.0005149,0.0005149
51,2033.81,1.31716,0.85553,0.87917,0.75364,0.57914,0.63863,0.35871,1.38285,0.94132,0.89051,0.000505,0.000505,0.000505
52,2072.51,1.30128,0.84612,0.88008,0.77295,0.56426,0.64254,0.35172,1.41491,0.93775,0.89438,0.0004951,0.0004951,0.0004951
53,2111.95,1.32806,0.85006,0.87997,0.69586,0.63006,0.64405,0.35154,1.3982,0.95994,0.89321,0.0004852,0.0004852,0.0004852
54,2150.49,1.31407,0.8435,0.87797,0.7735,0.58724,0.65046,0.36503,1.38033,0.89576,0.88595,0.0004753,0.0004753,0.0004753
55,2189.03,1.30887,0.83377,0.87771,0.77467,0.56119,0.66382,0.36234,1.40093,0.92121,0.89178,0.0004654,0.0004654,0.0004654
56,2227.35,1.28736,0.82607,0.88112,0.79837,0.54733,0.6393,0.3491,1.42472,0.92707,0.8925,0.0004555,0.0004555,0.0004555
57,2265.73,1.28999,0.81867,0.88063,0.77524,0.57436,0.65132,0.36376,1.40486,0.9348,0.8905,0.0004456,0.0004456,0.0004456
58,2304.21,1.27373,0.81647,0.87738,0.73614,0.59397,0.67226,0.37026,1.39437,0.928,0.88877,0.0004357,0.0004357,0.0004357
59,2342.72,1.29137,0.8133,0.87486,0.64414,0.61897,0.65583,0.35959,1.41481,0.9294,0.89216,0.0004258,0.0004258,0.0004258
60,2381.19,1.27621,0.80528,0.87185,0.68674,0.61284,0.65265,0.36552,1.38265,0.90499,0.88845,0.0004159,0.0004159,0.0004159
61,2419.94,1.27933,0.80659,0.87335,0.71574,0.5746,0.65743,0.35787,1.41781,0.9078,0.88884,0.000406,0.000406,0.000406
62,2458.46,1.26331,0.79235,0.87023,0.81922,0.56346,0.68456,0.3858,1.36388,0.87782,0.88596,0.0003961,0.0003961,0.0003961
63,2497.34,1.25197,0.80013,0.87169,0.81426,0.57148,0.68849,0.38799,1.3409,0.87669,0.88272,0.0003862,0.0003862,0.0003862
64,2535.79,1.26338,0.77874,0.8679,0.79044,0.58236,0.68083,0.38131,1.34207,0.87959,0.87943,0.0003763,0.0003763,0.0003763
65,2574.29,1.2592,0.78619,0.86838,0.7952,0.57158,0.65956,0.3742,1.34422,0.89005,0.88258,0.0003664,0.0003664,0.0003664
66,2612.8,1.22925,0.7709,0.86975,0.81581,0.57994,0.66411,0.37358,1.33507,0.88203,0.87691,0.0003565,0.0003565,0.0003565
67,2651.48,1.22816,0.75885,0.86386,0.72448,0.59678,0.64185,0.35942,1.376,0.93996,0.88492,0.0003466,0.0003466,0.0003466
68,2689.84,1.20271,0.74213,0.86235,0.71384,0.6081,0.65243,0.37338,1.33055,0.89496,0.87953,0.0003367,0.0003367,0.0003367
69,2728.35,1.21287,0.76081,0.86239,0.80331,0.58542,0.67483,0.38051,1.33529,0.85385,0.87823,0.0003268,0.0003268,0.0003268
70,2766.87,1.2316,0.75487,0.86585,0.69713,0.59257,0.67238,0.3812,1.33457,0.87453,0.87963,0.0003169,0.0003169,0.0003169
71,2805.36,1.21591,0.74458,0.86152,0.79723,0.57544,0.66348,0.37946,1.34973,0.87139,0.88282,0.000307,0.000307,0.000307
72,2843.82,1.21092,0.74533,0.86316,0.81437,0.58705,0.68401,0.38867,1.3279,0.84332,0.87992,0.0002971,0.0002971,0.0002971
73,2882.32,1.20525,0.73719,0.86288,0.79819,0.57726,0.67269,0.3824,1.33157,0.87761,0.88021,0.0002872,0.0002872,0.0002872
74,2920.63,1.19918,0.73236,0.85877,0.76955,0.61134,0.66839,0.38208,1.33015,0.87051,0.87731,0.0002773,0.0002773,0.0002773
75,2959.01,1.17967,0.72374,0.8556,0.82631,0.56181,0.68067,0.38465,1.32287,0.86662,0.87841,0.0002674,0.0002674,0.0002674
76,2997.36,1.18013,0.71087,0.85641,0.82333,0.5794,0.68327,0.3858,1.34423,0.85479,0.87949,0.0002575,0.0002575,0.0002575
77,3036.01,1.17791,0.71413,0.85749,0.73569,0.61056,0.67152,0.38399,1.33752,0.86104,0.87929,0.0002476,0.0002476,0.0002476
78,3074.48,1.18171,0.71579,0.85786,0.80393,0.58306,0.66057,0.37339,1.35631,0.8702,0.88417,0.0002377,0.0002377,0.0002377
79,3112.95,1.17084,0.70613,0.85113,0.74305,0.60363,0.66844,0.38354,1.33254,0.86181,0.87907,0.0002278,0.0002278,0.0002278
80,3151.73,1.15586,0.69191,0.85736,0.79527,0.57475,0.65919,0.37787,1.33125,0.8879,0.87944,0.0002179,0.0002179,0.0002179
81,3190.31,1.16505,0.69147,0.85581,0.82276,0.58944,0.68718,0.3979,1.30363,0.84876,0.87609,0.000208,0.000208,0.000208
82,3228.71,1.16585,0.6988,0.85173,0.82182,0.58461,0.67854,0.39058,1.30899,0.84967,0.875,0.0001981,0.0001981,0.0001981
83,3267.31,1.14827,0.69782,0.84618,0.79196,0.61531,0.68381,0.39322,1.32508,0.84548,0.87725,0.0001882,0.0001882,0.0001882
84,3305.84,1.1454,0.68994,0.85374,0.81792,0.57518,0.67777,0.38922,1.31861,0.86034,0.87829,0.0001783,0.0001783,0.0001783
85,3344.11,1.13637,0.67855,0.84944,0.80874,0.60741,0.71276,0.40564,1.30493,0.8277,0.87589,0.0001684,0.0001684,0.0001684
86,3382.66,1.13625,0.67867,0.85038,0.78625,0.61219,0.6836,0.39384,1.30856,0.84249,0.87604,0.0001585,0.0001585,0.0001585
87,3421.13,1.12967,0.67717,0.85106,0.80888,0.58014,0.67369,0.3914,1.30356,0.85608,0.87417,0.0001486,0.0001486,0.0001486
